Movie Title,production_budget_usd,worldwide_gross_usd
American Hero,1000000,26
The Rise and Fall of Miss Thang,10000,401
The Dark Hours,400000,423
Destiny,750000,450
Bang,10000,527
Ed and his Dead Mother,1800000,673
The Jimmy Show,1000000,703
Perrier’s Bounty,6600000,828
In Her Line of Fire,1000000,884
The Mongol King,7000,900
"To Be Frank, Sinatra at 100",2000000,926
Childless,1000000,1036
B-Girl,700000,1160
The Trials of Darryl Hunt,200000,1217
Skin Trade,9000000,1242
Grip: A Criminal's Story,12000,1336
Return to the Land of Wonders,5000,1338
Keeping it Real: The Adventures of Greg Walloch,100000,1358
Eddie: The Sleepwalking Cannibal,1400000,1632
The Looking Glass,300000,1711
Detention of the Dead,500000,1778
Born to Fly: Elizabeth Streb vs. Gravity,500000,1822
On the Down Low,10000,1987
"Me, You and Five Bucks",1500000,2105
Yoga Hosers,5000000,2199
Veronika Decides to Die,9000000,2243
The Ghastly Love of Johnny X,2000000,2436
Sparrows Dance,175000,2602
The Sleepwalker,1100000,2636
Tracker,6500000,3149
Carousel,3380000,3220
Along the Roadside,250000,3234
Windsor Drive,850000,3256
I Love Your Work,1600000,3264
Drunk Wedding,600000,3301
Mi America,2100000,3330
Broken Horses,15000000,3471
Locker 13,300000,3496
Emily,27000,3547
Raymond Did It,40000,3632
The Word,200000,3648
The Helix…Loaded,1000000,3700
The Harvest/La Cosecha,560000,3709
The Californians,500000,4134
La navaja de Don Juan,1200000,4254
Inescapable,4000000,4327
Newlyweds,9000,4584
My Big Fat Independent Movie,3000000,4655
In Dubious Battle,15000000,4892
Supporting Characters,60000,4917
"Peace, Propaganda and the Promised Land",70000,4930
The Grimm Brothers' Snow White,26000000,5000
Tanner Hall,3000000,5073
Say Uncle,2000000,5361
Loving Annabelle,1000000,5382
Sparkler,1000000,5494
Top Spin,150000,5858
Solitude,200000,6260
I Am Wrath,18000000,6784
The Sisterhood of Night,1000000,6870
The Case of the Grinning Cat,200000,7033
Antarctic Edge: 70º South,150000,7193
The Giant Mechanical Man,900000,7396
Little Big Top,240000,7484
Area 51,5000000,7556
Dreaming of Joseph Lees,3250000,7680
Certifiably Jonathan,1200000,7826
Everything Put Together,500000,7890
They Will Have to Kill Us First,600000,7943
And Then Came Love,989000,8158
Pink Narcissus,27000,8231
Grace,5000000,8297
Counting,50000,8374
Julija in alfa Romeo,560000,8462
Absentia,70000,8555
Dawn of the Crescent Moon,75000,8799
Janky Promoters,10000000,9069
Faith Connections,550000,9111
Revolution#9,350000,9118
Anatomie,2500000,9598
Down Terrace,30000,9812
Camp X-Ray,1000000,9837
Taxman,3500000,9871
Circle,2000000,10024
Naturally Native,700000,10508
Fighting Tommy Riley,300000,10514
Jerusalema,2000000,10679
"First Love, Last Rites",300000,10876
The Lovers,35000000,11106
16 to Life,1000000,11574
Falcon Rising,4500000,11774
Hross i oss,10000000,11894
The Living Wake,500000,12232
The Loved Ones,4000000,12302
Vaalu,1900000,12444
Gory Gory Hallelujah,425000,12604
August,3400000,12636
London,2000000,12667
The Last Time I Committed Suicide,4000000,12836
Night Lights,250000,12848
The Specials,1000000,12996
The Slaughter Rule,500000,13134
Forget Me Not,1300000,13465
As It Is in Heaven,450000,13486
Outside Bet,7500000,13524
Don McKay,6000000,13722
Dolphin,170000,14000
Opal Dreams,9000000,14443
10 Days in a Madhouse,12000000,14616
Starsuckers,640000,14812
Major Dundee,3800000,14873
Trade of Innocents,5800000,15091
